Показатель;Расчетное (проектное) значение показателя;Корень
ЮВ;286;окон по сторонам света
Средняя температура наружного воздуха за отопительный период;-3,1;Расчетные условия
навесной фасадной системы с основанием из железобетона-R;3,34;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
нормируемая воздухопроницаемость окон;0;Общая информация
Расчетная температура техподполья;8;Расчетные условия
Расчетная площадь (общественных зданий);1229;Геометрические и теплоэнергетические показатели
Удельная теплозащитная характеристика здания;0;Удельные характеристики
ЮЗ;477;окон по сторонам света
Этажность, количество секций;0;Общая информация
Размещение в застройке;0;Функциональное назначение, тип и конструктивное решение здания
Адрес здания;0;Общая информация
входных дверей;64;фасадов
Нормируемый удельный расход тепловой энергии на отопление здания;0,319;Комплексные показатели расхода тепловой энергии
навесной фасадной системы с основанием из железобетона;994;фасадов
нормируемая воздухопроницаемость дверей;0;Общая информация
Расчетный удельный расход тепловой энергии на отопление здания;0;Комплексные показатели расхода тепловой энергии
Коэффициент эффективности рекуператора;0;Коэффициенты
Градусо-сутки отопительного периода;0;Расчетные условия
Коэффициент эффективности авторегулирования;0,95;Коэффициенты
Сумма площадей этажей здания;13080;Геометрические и теплоэнергетические показатели
навесной фасадной системы с основанием из керамзитобетона;3909;фасадов
перекрытий над проездами и под эркерами-R;4,86;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
трехслойной стены по монолитному железобетону-R;3,42;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
окон и балконных дверей;1383;фасадов
перекрытий над техническими подпольями-R;1,88;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
Количество квартир;;Общая информация
коэффициент снижения объема воздуха в здании, учитывающий наличие внутренних ограждающих конструкций;;Коэффициенты
входных дверей-R;0,83;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
эксплуатируемой кровли-R;5,55;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
окон лестнично-лифтовых узлов;0;фасадов
Расчетная температура наружного воздуха;5,55;Расчетные условия
покрытий (совмещенных)-R;4,48;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
навесной фасадной системы с основанием из керамзитобетона-R;3,16;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
перекрытий над техподпольями;1550;фасадов
трехслойной стены по кладке из керамзитобетона-R;3,19;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
окон и балконных дверей-R;0,65;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
В;103;окон по сторонам света
Продолжительность отопительного периода;216;Расчетные условия
Коэффициент, учитывающий снижение теплопотребления жилых зданий при наличии поквартирного учета тепловой энергии на отопление;0;Коэффициенты
Удельные бытовые тепловыделения в здании;0,296;Приведенный трмнсмиссионный коэфициент теплопередачи здания
Дата заполнения (число, м-ц, год);0;Общая информация
З;49;окон по сторонам света
Коэффициент остекленности фасада здания;0;Геометрические и теплоэнергетические показатели
покрытий (совмещенных);339;фасадов
Шифр проекта;0;Общая информация
Класс энергетической эффективности;0;Комплексные показатели расхода тепловой энергии
С;142;окон по сторонам света
Удельный расход тепловой энергии на отопление зданий за отопительный период;0;Энергетические нагрузки здания
Кратность воздухообмена здания за отопительный период при удельной норме воздухообмена;15,6;Приведенный трмнсмиссионный коэфициент теплопередачи здания
окон лестнично-лифтовых узлов-R;0,65;Приведенное сопротивление теплопередаче наружных ограждений,   в том числе:
Тарифная цена тепловой энергии для проектируемого здания;0;Приведенный трмнсмиссионный коэфициент теплопередачи здания
Удельная характеристика теплопоступлений в здание от солнечной радиации;0;Удельные характеристики
Назначение здания, серия;0;Общая информация
Разработчик проекта;0;Общая информация
Отапливаемый объем здания;34229;Геометрические и теплоэнергетические показатели
Расчетная температура теплого чердака;0;Расчетные условия
трехслойной стены по кладке из керамзитобетона;1838;фасадов
Ю;67;окон по сторонам света
Расчетное количество жителей или служащих;0;Общая информация
Адрес и телефон разработчика;0;Общая информация
Расчетная температура внутреннего воздуха;20;Расчетные условия
Коэффициент, учитывающий снижение использования теплопоступлений в период превышения их над теплопотерями;0;Коэффициенты
Расход тепловой энергии на отопление зданий за отопительный период;0;Энергетические нагрузки здания
перекрытий над проездами и под эркерами;;
трехслойной стены по монолитному железобетону;577;фасадов
максимальная скорость  ветра за январь;0;Общая информация
эксплуатируемой кровли;1296;фасадов
Удельная вентиляционная характеристика здания;0;Удельные характеристики
Конструктивное решение;0;Функциональное назначение, тип и конструктивное решение здания
;0;фасадов
Коэффициент учета дополнительного теплопотребления ;1,13;Коэффициенты
Общие теплопотери здания за отопительный период;0;Энергетические нагрузки здания
Тип;0;Функциональное назначение, тип и конструктивное решение здания
Удельная характеристика бытовых тепловыделений здания;0;Удельные характеристики
Площадь жилых помещений;3793;Геометрические и теплоэнергетические показатели
Назначение;0;Функциональное назначение, тип и конструктивное решение здания
высота здания;0;Общая информация
СВ;366;окон по сторонам света
Показатель компактности здания;0;Геометрические и теплоэнергетические показатели
СЗ;323;окон по сторонам света
